jvm,arm,ns_per_event,bytes_per_event,breaches,updates,buffer,rep
graal25.3-native-march,plainInline,3.0362,0.000000,102500000,102500000,11551.2267,1
graal25.3-native-march,plainInline,3.0558,0.000000,102500000,102500000,11551.2267,2
graal25.3-native-march,plainInline,2.9906,0.000000,102500000,102500000,11551.2267,3
graal25.3-native-march,plainInline,3.0576,0.000000,102500000,102500000,11551.2267,4
graal25.3-native-march,plainInline,3.0334,0.000000,102500000,102500000,11551.2267,5
graal25.3-native-march,plainGuarded,7.9038,0.000000,102500000,102500000,11551.2267,1
graal25.3-native-march,plainGuarded,7.8368,0.000000,102500000,102500000,11551.2267,2
graal25.3-native-march,plainGuarded,7.8531,0.000000,102500000,102500000,11551.2267,3
graal25.3-native-march,plainGuarded,7.8562,0.000000,102500000,102500000,11551.2267,4
graal25.3-native-march,plainGuarded,7.9225,0.000000,102500000,102500000,11551.2267,5
graal25.3-native-march,fluxtionStreamClock,13.5398,0.000000,102500000,102500000,11551.2267,1
graal25.3-native-march,fluxtionStreamClock,13.5082,0.000000,102500000,102500000,11551.2267,2
graal25.3-native-march,fluxtionStreamClock,13.5140,0.000000,102500000,102500000,11551.2267,3
graal25.3-native-march,fluxtionStreamClock,13.5291,0.000000,102500000,102500000,11551.2267,4
graal25.3-native-march,fluxtionStreamClock,13.5601,0.000000,102500000,102500000,11551.2267,5
graal25.3-native-march,fluxtionDefault,21.4809,0.000000,102500000,102500000,11551.2267,1
graal25.3-native-march,fluxtionDefault,21.4401,0.000000,102500000,102500000,11551.2267,2
graal25.3-native-march,fluxtionDefault,21.3911,0.000000,102500000,102500000,11551.2267,3
graal25.3-native-march,fluxtionDefault,21.3947,0.000000,102500000,102500000,11551.2267,4
graal25.3-native-march,fluxtionDefault,21.5772,0.000000,102500000,102500000,11551.2267,5
oracle25-graaljit,plainInline,2.1382,0.000004,102500000,102500000,11551.2267,1
oracle25-graaljit,plainInline,2.0931,0.000004,102500000,102500000,11551.2267,2
oracle25-graaljit,plainInline,2.0904,0.000004,102500000,102500000,11551.2267,3
oracle25-graaljit,plainInline,2.0899,0.000004,102500000,102500000,11551.2267,4
oracle25-graaljit,plainInline,2.0912,0.000004,102500000,102500000,11551.2267,5
